Text,Sentiment
"MCP.. sorry kids but Nissan, Siemens = NOT getting in the mining business, but have some fun buying whatever somebody is trying to unload..",negative sentiment
"CSN I know it's a crazy thought, but WHAT IF this goes green by EOD?",positive sentiment
SCHW - breaks out of flag,positive sentiment
GS Ask is being pummeled...managers cannot miss this and afraid they are missing the train...,positive sentiment
WH nice rounded reversal pattern intraday since the gap fill,positive sentiment
"ES_F spikes off bottom. eading Stocks comatose but still leading. WAKE P!! OCN SBGI NSM FIVE GNC Makes you say, hmmmm?!?!",positive sentiment
AMAT reached very high overbought conditions. I will wait for a pullback to enter long,positive sentiment
"ACI Option trader buys 20k of the Feb 7P on a hard offer vs. OI of only 1,400. Earnings are Feb 5th BMO. Could be a hedge against long stk",negative sentiment
ZION Stalking. Cup & Handle potential breakout w/ anemic volume on Handle. Breakout candidate,positive sentiment
VFC - we are short this one again - bulls need to hold the support it is in now or the break could be significant,negative sentiment
BAC anyone think this might slush and fall below 11 today?,negative sentiment
Big boy stock GE starting to build a very constructive right side of a current 14-week cup base.,positive sentiment
AAP This possibility exists,positive sentiment
"egarding , going into KSS WMT TGT TJX OSS you see so many copycat clothing items, reminds me of COX 70+ ----> Sub 1",negative sentiment
"DNKN not seeing a lot of talk about this one, but put in another nice day in this steady uptrend",positive sentiment
"Green Weekly Triangle on ESSX,....pdating",negative sentiment
"AppleSoft: No, It Was Not Different This Time - AAP",negative sentiment
"Green Weekly Triangle on HBAN,...pdating",negative sentiment
ltra base? TEK #ltratech Step it up! #Stepper,positive sentiment
in dec GE long in the IA's under 20.00 stock had plague now world loves it 22+ tells me we headed down now just as then knew we heading up,negative sentiment
AN - eversal confirmed closing nicely above the 20 day of 9.47 Also confirming today: IMM CHK Others I like:,positive sentiment
Wk #3 #13for2013 portfolio: DDD DNKN FT INVN KOS NKD MOV NTSP AX SCCO SCA SSYS V,positive sentiment
INVN reports next week & is 3rd with a 13.5% gain this year #13for2013 (watch cup w/ handle - wkly),positive sentiment
"NTSP is the laggard in the #13for2013 portfolio, down 2.03% for the year (closing in on 50-d ma)",positive sentiment
ACHC I might be crazy but this stock is rising. ow volume however.Price matters first.,positive sentiment
Short term bearish on CYH as it now goes parabolic above the upper band of it's uptrend channel.,negative sentiment
CST watch for inverse h+s. >20days2cover,positive sentiment
Watching HOV for a bounce to the upside. It appeared to touch 61.8% Fib at last Friday's close.,positive sentiment
BONT a gap up like this may cuz it to go little higher to test 14 but we retest 13.00 for sure,negative sentiment
FIE - Decending Triangle w/ possible bear flag last week. Open gap at 36.38.,negative sentiment
DGI toppy,negative sentiment
BAC Bank Of America Will ikely Double Again Within 3 Years These stocks are in my IA.,positive sentiment
SHD - Appearance of a 180 Bullish Cup and Handle. Someone has put on a SPD.,positive sentiment
"Tight consolidation above 9EMA is quite bullish, so I'm stalking SII for a potential long entry",positive sentiment
EW Into gap Over 95.00,positive sentiment
FOE  Over 4.60,positive sentiment
PAB has resistance from June to Sept but Over 6.21 to start a trade,positive sentiment
xray  Over 41.00,positive sentiment
CNK - potential head and shoulders leading into BOJ bit.ly/XStZaG,negative sentiment
ooking for this to catch up to other Nat. Gas producers like NG Bought Feb. 18 calls CHK,positive sentiment
SCSS usually likes to make a run to 30-32 when at these levels. Bought Feb. 30 calls for swing,positive sentiment
Friday's high quality breakouts still within range of their pivot points: TV TMI OC WT MDZ FEIC HA SB OTEX,positive sentiment
AEO TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.,positive sentiment
CGX TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.,positive sentiment
CVT TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.,positive sentiment
GDI TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.,positive sentiment
SM TECHNICA TADES WATCH IST tonight. These 20 stocks have the good characteristics with the market being strong.,positive sentiment
"the only surprise is upside user: With more negative AAP news, it feels like a short term bottom is coming.",positive sentiment
BAC Bank Of America Is The Best Bank Stock On The Dow,positive sentiment
DECK this sucker moves both ways this time i like it long,positive sentiment
ZION when banks pull bank this becomes a teenager,negative sentiment
iberty Media reports increased stake of 50.25% in SII Breakout watch over 3.19,positive sentiment
GOOG - has potential for slightest disappoint stock could gap 50 points down - did it - Q4 earnings of 10.58 per share,negative sentiment
GOOG november repeat 760 to 660 - good put spec call here,negative sentiment
"DDD seems over bought, everyone raising PT, ATH, etc. eminds me of aapl at 700... At the same time I want to buy.",positive sentiment
Bullish QIH AAP IBM,positive sentiment
GOOG glasses will definitely give AAP a run for their money...,positive sentiment
GS you might get to start a position at 140 then add more at 138 if we get there.,positive sentiment
"Sorry guys, but Netflix bulls need to hit the pause button. NFX",negative sentiment
NG from watch list sneaking over line on volume of 4% ave full day,positive sentiment
OPEN table over line form watch list - vol just 7% of ave full day,positive sentiment
Buying back the goog i sold in 730's on the stream a few weeks ago,positive sentiment
EN SHOT 250 41.70,negative sentiment
"VVTV - We are in at 2.55 per share. This looks like a good one, its moving up already - we will sell at a 7% gain #stocks #insidertrading",positive sentiment
CO pointed out this wknd - huge Outside Day - Bearish Engulf took out all of Jan's gains. Watch.,negative sentiment
O - I am starting to see Blu everywhere. very small portion of business but holiday sales may have been BTE.,positive sentiment
ANF - SI overbought small position puts.,negative sentiment
ooking to add to BJI shrt/puts today - EAT,negative sentiment
INTC BY 500 21.10 STOP 19.00,positive sentiment
XF moving with VOME again today and at resistance. Close above 17.20 and I'm grabbing some GS JPM for swing trade.,positive sentiment
Further proof BBY is trying to tank it on purpose to go private on the cheap: The great gift card giveaway 2013.,negative sentiment
KO made with sugar is sold at local COST. Consumers prefer that in CA. user-Cola should make shift nationwide. I'm bullish SB_F SPY,positive sentiment
"VA - ong 43.07. Trailing Stop 60.12 from 12 Stops of 58.98, 54.53, 52.45, 48.05, 47.32, ... 41.32 & 39.57 -",positive sentiment
"I was looking at CS for a potential bounce play w/ AAP earnings, but imo AAP won't do 13 eps even if it does guidance will be key",negative sentiment
D pays a nice dividend tomorrow and holding up well. Would like to see it close above 10 longer term looks good to 14 imho,positive sentiment
"DDD - ong 27.95. Trailing Stop 46.44 from 9 prior Stops of 45.23, 42.35, 41.70, 39.03, ... 25.44 and 22.93 -",positive sentiment
WFM looking really good here breaking this DT line on good volume so far,positive sentiment
user On any significant Vol over 11.30 in BAC it's a good Entry IMHO.,positive sentiment
"DDD strong winner, buy right and sit tight. Darvas would said hold em until they stop moving.",positive sentiment
"A nder Armour option trader buys 3,200 calls before earnings betting on 6% up move",positive sentiment
BAC run don't walk.,negative sentiment
MCP I like the company but no...,negative sentiment
KB Homes KBH price targets spy,positive sentiment
DN buying this flag breakout; entry 6.49 stop 5.98,positive sentiment
SANW Piper puts 14 tgt on it today. They did recent offering. Would love to know what they said. I think will be a quiet yr pricewise,positive sentiment
PW making a new 52 week hight today on good volume,positive sentiment
KBH breaking out,positive sentiment
"In about 20 minutes, some yutz in his 70's will leak GOOG earnings at some firm that should not exist deep in the bowels of wall street",positive sentiment
KBH Big move today. At resistance,positive sentiment
"When GOOG beats estimates, stock averages 2.7% gain. When it misses, shares fall 7.9% via user",positive sentiment
CHK just ripping,positive sentiment
"I was big fan of AMZN but daily and weekly very heavy now, take your gains,selling calls wont be ok",negative sentiment
"Kudos to Tim Cook 4 pushing E to Wed...emember MK weekend 2 yrs ago/day b4 E, when Steve Jobs went on medical leave 4 last time? AAP",positive sentiment
"Most eading Stocks lagging ES_F, AMH FT, others displaying climactic action, DDD MTZ. Positive reaction 2 AAP EPS is a Bull Trap.",negative sentiment
"Green Weekly & Monthly Triangle on ISIS,....pdating",negative sentiment
BZH Beazer Homes SA option traders getting bullish before earnings buying over 8k calls,positive sentiment
"Green Weekly Triangle on AMPE,....pdating",negative sentiment
"AN No serious resistance till 10.00, 10.17 Just getting started (likely)",positive sentiment
SNFCA moving stop tighter after seeing reaction to resistance,positive sentiment
SPY Dismal volume today. It appears everyone's waiting for AAP to release earnings before they take a position.,negative sentiment
GOOG > I made a slight change by relocating wave 3 to last Friday's low.,negative sentiment
"ed Weekly Triangle on FT,....pdating,..near to end the trend",positive sentiment
KEX closed 3.37 called the long at 3.08 - biggest winner of the day!!!1,positive sentiment
IBM apparently the numbers were good,positive sentiment
GOOG lower trendline adjusted,positive sentiment
CHK looks like an intermediate term bottom,positive sentiment
TXN Why down in AH on beat?,positive sentiment
"Green Weekly Triangle on DEPO,.....pdating",negative sentiment
GOOG is the best. chrome on IOS it better that safari. goog innovation is far better.,positive sentiment
"user: OK, correction, WDC 15-16 year highs.",positive sentiment
goog short 738. Think they will sell into the open tomorrow. Would be lovely and same procedure than every quarter :) Good Night Guys!,negative sentiment
"GOOG thank you for the sake of my calls, will love to see you go higher in the morning!",positive sentiment
AAP - 3 scenarios to watch ahead of Apple earnings and the resulting price action,negative sentiment
user KEX with volume continuing I see this going to 4 - pretty easy - long today right above 3.00,positive sentiment
"TSA some nice PVE here, but got rejected at 35.50 area again, keeping on watch for a push through",positive sentiment
IBM GOOG AAP FB COMPQ SPX 79.6% of S&P 500 Stocks Overbought,negative sentiment
"WH held above previous day's lows continuing bounce from the gap fill, SI back above 50",positive sentiment
"GMC haven't missed the party yet, still consolidating, could go any day",positive sentiment
AAP Anyone have any suggestions for bullish positions assuming 5% increase after earning? 530 long calls seem to have limited upside.,positive sentiment
"VMW testing its recent uptrend here, not real impressive as of late, SI now in bear country",negative sentiment
"aapl so aside from simply levering on common stock or writing puts, any other *risky* strategies to play earnings for maximum reward?",positive sentiment
SGMO monthly,positive sentiment
user I'd guess if there were other AAP issues with the magnitude of maps we'd know it by now.,positive sentiment
"user I'd buy an iPad if I weren't wedded to 64-bit gigaflops, gigabytes of AM and inux. AAP",positive sentiment
AEG Over 28.23,positive sentiment
homes are building - KBH may break over October levels - Over 17.20 or 17.26,positive sentiment
"FFIV another CSS falling through lower trend support today, seeing a trend here",negative sentiment
Good stuff user: Google Earnings eview: Hopeful Signs in a Multi-Screen World GOOG XK,positive sentiment
user I don't know about NOK and IMM but I suspect Mr. Ballmer won't make his numbers. MSFT,negative sentiment
Positive GOOG earnings pushed NQ_F higher and it finally looks in sync with ES_F & YM_F QQQ SPY DIA,positive sentiment
Bloomberg : Morgan Stanley's ist of Companies with Higher Odds of a Takeover Offer FS is a TAKEOVE candidate !!!!,positive sentiment
FAO is deciding its direction #waitforit,positive sentiment
"GOOG much better positioned than AAP. Does not rely on hardware sales, less competition, search monopoly, better vision.",positive sentiment
CSX CEO on CNBC now,positive sentiment
MCD Whats the news?,positive sentiment
"user: IBM up 3.7% in pre-mkt, GOOG up 5.2. eaction to tech good, despite warts on both quarters",positive sentiment
well MCP top short from 11 to zero still in play same goes with VXY from 12 and TVIX from 6 all three will evaporate to nothing,negative sentiment
COH defended the 50.50-50.60 area a few times.,negative sentiment
im long ATHX 1.34 and D 10.02 - .26 dividend paid today now unit cost is 9.76,positive sentiment
ATHX b/o above 1.35 w/ buy stops to 1.50 range easy on this. Wait for first hr to shake out and volume to come in STAY ONG STAY STONG,positive sentiment
DECK short 38.10 bear flag working,negative sentiment
XEC short 63.90,negative sentiment
AMZN short 268.57,negative sentiment
DECK out half short +.50 cents,negative sentiment
INVN also over line - from watch list this a trade to top of red candle on the left,positive sentiment
"MIDD - ong 97.69. Trailing Stop 118.01 from 10 Stops of 115.61, 113.95, 110.38, 99.33, 95.82, ... 90.46 & 87.31",positive sentiment
user Another actionable alert with the KBH 18 Feb calls. Thanks,positive sentiment
IBM and GOOG adding to gains in regular trading hours. I like them both but I prefer GOOG above 745.,positive sentiment
AMZN out half short +1,negative sentiment
"If GOOG holds up above 745 today on good volume, very bullish",positive sentiment
Did you like my IBM calls and GOOG calls from last night?,positive sentiment
VXY 10 by eod AAP ramp,negative sentiment
XEC out half of short +.50cents,negative sentiment
AMZN covered short +1 now long 267.61,positive sentiment
VXY Da bears wacked again? gap fill from yesterday. 10 on AAP 15% rev beat?,negative sentiment
XEC out 1/4 of short +1,negative sentiment
DDD I sold my position way to early at 45 having bought at 30....good trade but left quite a bit on table. ooking for pullback,positive sentiment
user Do you have a strategy for setting stop loss on a winning stock? What about setting at the 10day MA if stock is above FDX?,positive sentiment
BAC Indtitutional buy 11.30 large Block,positive sentiment
"Tues gave sell on AMZN because I was concerned for user, but he was out ,good thing!",negative sentiment
"I get devices shtick, but still don't think DE deal helps MSFT at all in short- or medium-term.  via user",negative sentiment
"Oh, and 1st comment on my user post from a guy with 45 target for MSFT ... BY END OF Q2!!! A tad aggressive?",negative sentiment
"QSII getting close to the big gap above, SI a good indicator here",positive sentiment
GOOG Nice jump!,positive sentiment
OY O'eilly Automotive Inc. option traders making big downside bets selling 27k calls buying 17k puts,negative sentiment
"AMD 2.72 is pretty much the pivot resistance here. If that breaks, we could see 2.83 quickly.",positive sentiment
here is the AMZN with the down target magenta at 260.43,negative sentiment
OY Massive 80000 contract 8 way rolls bullish trade in OY into a call spread collar,positive sentiment
"user yes, it is working fine ISIS, might I will post a update today",negative sentiment
GOOG clearing next buy area per video this morning,positive sentiment
"FCFS Q4 beats on top/bottom, guides full year below estimates. evs +24% YoY, net income +30% YoY",positive sentiment
"FCFS expects to open ~75 to 85 new stores in 2013, the majority of which will be in Mexico",positive sentiment
"Green Weekly & Monthly Triangle on ISIS,.....pdating",negative sentiment
"SWY - clean up isle 6, 7, & 8, we have short sellers bleeding out everywhere",positive sentiment
user nobullshytrader I will post a update soon SNSS,positive sentiment
"ed Weekly Triangle on SNSS,....pdating, for complete study check",positive sentiment
"mentioned it was poised yesterday. congrats big BE - IBM p 5%, Near All-Time High via user IBM",positive sentiment
bought a little aapl at 510 ... pressing my position a bit because GOOG to me is just prooof of an expanding mobile pie.,positive sentiment
FS just looking more and more like a head and shoulders pattern here,negative sentiment
Why I BOGHT a little more AAP today pre-earnings (or how to break all your own rules because of a feeling) ...,positive sentiment
1 of 2: the game the momos have to play now is what stock will pop next on earnings? price action today says NFX,positive sentiment
SWY Safeway Inc. bullishness in March Calls for earnings,positive sentiment
"NFX Q3 2012 operational cash flow was 150,000 vs. Q3 2011 of 49 million. 99% decline q over q",negative sentiment
"Most eading Stocks lagging ES_F, DDD SSYS AKS. Others displaying climactic action, AFSI AD SNTS. AAP at Bat! Tighten Stops.",negative sentiment
MEA SI MACD and KDJ are saying it's still not time to here. Monitoring stricly for an entry point lower,negative sentiment
VXY 9 here we come - AAP Blowout,negative sentiment
VXY AAP Blowout Huge Dump AAP Miss #FED pump VXY Dump,negative sentiment
"AAP Apple had 58 billion in current assets and 92 billion in long-term marketable securities,? mostly probably Treasury bills.",negative sentiment
"AAP plus another 26 billion in off-balance-sheet liabilities, mostly contractual commitments to buy parts from suppliers.",negative sentiment
AAP So Apple's true stock price is really about 430. This is the starting point for understanding the company's valuation,negative sentiment
"user DDD exhibiting climax run characteristics: ate stage base, 30%+ in 2 weeks, extended over ma's, violating upper trendline, etc...",negative sentiment
HOV - haven't looked since selling in November - Nice move in Dec preXMAS,positive sentiment
"BCM I work in this industry. don't just look at smartphone #s, they are everywhere in the network/comm/server hardware space",positive sentiment
"user Yeah, I have to think AAP is an underpriced value stock. ;-)",positive sentiment
"user I suppose I should tweak my guess again, eh? AAP",positive sentiment
"ed Weekly Triangle on CB,....pdating",positive sentiment
SWY nice volume today.,positive sentiment
MSI - glad I waited until 11:52AM b4 placing close stop (not hit). Now can breath much easier as it is up for the day.,positive sentiment
AF no complaints as it confirms M b/o.,positive sentiment
"IBM and GOOG earnings beat, and SPY barely budged. ooks like AAP needs stellar earnings to keep bulls raving. more than 14 per share",negative sentiment
NFX murdering shorts. Wow.,positive sentiment
user I think the same aapl. Iphone lost the wow factor.,negative sentiment
"user: NFX shorts destroyed, now if AAP beats nicely the market is gonna have an orgasm",positive sentiment
AAP das + 2 % gef?llt mir nicht.,positive sentiment
AAP down we go,negative sentiment
CANT WAIT FO AAP TO GO BACK TO 400,negative sentiment
AAP Sell sell sell,negative sentiment
AAP Wow my god,negative sentiment
AAP wooooow really bad! I won't touch the apple-stock! Wild ride...,negative sentiment
"AAP believers will never give up. The competition has caught up, and AAP will have to lower prices or lose revenues. 425 coming soon.",negative sentiment
AAP with 137 billion in cash that is crazy,negative sentiment
VXY 10 on AAP conference call,negative sentiment
AAP user like the guest said aapl is lacking innovation,negative sentiment
I don't care what anybody says. NFX may have a little earnings boost and I stopped out but the MACD divergence is there! Will short again.,negative sentiment
user I'd buy MON. I'm waiting for a more serious pullback to get cheaper but not sure if that will happen. What do you think? 98/100?,positive sentiment
"Green Weekly Triangle on FNFG,....pdating, check blog:",negative sentiment
"AAP breaks low from 1/15. I'm just saying, even here, down from 700, I feel there is more stock that can be sold, then money to buy it.",negative sentiment
AAP What does Al Gore know that we don't?,positive sentiment
Apple call: cash+securities 137.1B vs 121B - 16B increase. That's less 2.5B in divs and 2B in buybacks too. (but 92B offshore) AAP,positive sentiment
"user: .. AAP 600 is too far, highly unlikely crosses 557 ever again. Will C - More than likely now. 425 is next level 2 watch",negative sentiment
"AAP From earlier, Stay away from failed patterns",negative sentiment
AAP next stop = 430,negative sentiment
"SPY afterhours thanks to AAP fail, is coming in hard and fast. #stockaction",negative sentiment
AAP I shorted after E and Win but now it's OVEEACTING Stock will be around 475-85 By EOD Tomorrow !,positive sentiment
Charles Sizemore on Straight Talk About Money - Sizemore Insights MSFT DE,positive sentiment
"Instead of the classic M. Night Shyamalan twist, we got the recent M. Night Shyamalan disappointment AAP",negative sentiment
user: AAP Hedge Fund Hotel margin call switchboard blow-up tomorrow,negative sentiment
"AAP, anybody remember, how i said they've reached saturation point now? Where's all of the guys who laughed?",negative sentiment
user: AAP 2012 GOD & Quarterly histograms ED #FT71 / 460 done....still work to be done below shared Jan 15,negative sentiment
AAP no volume support at these levels until 420ish. Broadening top looks complete- we'll see,negative sentiment
NFX is the easiest long side swing trade right here.,positive sentiment
"user if you are reading my Scaling Plan Sequence, yes, my high level for p is 5.80 SNSS, but a few swing will show out remember that",positive sentiment
AAP 462.50!,positive sentiment
"GGC - Textbook. From the watchlist, volume showed a clear indication on 1/22. This one was easy.",positive sentiment
Talked about this possibility a few months ago AAP QQQ NDX,negative sentiment
ACTG possible breakdown tomorrow...,negative sentiment
H broke support today and may drop out of the channel tomorrow... if it does watch out.,negative sentiment
HFC - 2 day performance +3.7%. Short-term traders looking to lock in some quick gains. A breakout from here would still be buyable.,positive sentiment
B bearish,negative sentiment
VHC another one I may buy tomorrow.... looking nice.,positive sentiment
user not feeling HEOP Good luck.,negative sentiment
TSO is on a good upward run but a resistance level has formed at 45.44. Keep it on your radar.,positive sentiment
BCN Higher volume often indicates reversal points.Technicals/saying the stock is about to take off,positive sentiment
"BAC December 2012 was a solid channel up, with two bull flags. January 2013 is seeing a solid channel down form. Bear flag #2 in formation",negative sentiment
HC if you go to their website it is a quasi DDD type play. It really hasn't give entry point post earnings. Excellent risk/reward. None,positive sentiment
CS Short Setup:,negative sentiment
AAP I told you before the after market :),negative sentiment
AAP The support is 430.. is the real value of the company.. to day,negative sentiment
user Prop_Trader user --- you have the January affect of new inflows and new money wasn't going into AAP clearly,negative sentiment
user: CS reports after the close; big growth expected but may not be enough; more than 50% of biz with AAP,negative sentiment
AAP COMPQ Apple sinks to Nasdaq,negative sentiment
HAO ong Setup (perhaps my best recent winner; long this name) (needs to clear 8.44 and .50):,positive sentiment
NEW POST: AAP Has Disappointing Quarter...Its Bear Phase esumes,negative sentiment
AAP under 450 gets ugly I've been saying for a while AAP hits 400 in 2013,negative sentiment
AAP i have been warning ppl to stay away from this stock for a long time. Its cheap I agree but stocks always can get cheaper,negative sentiment
Went to VZ last night. Phones today are all competitive. ots of gd choices samsung android heck I may go back to flip phone AAP,negative sentiment
user: FIO fugly,negative sentiment
"SWY - running late today, had to run to Safeway and get some coffee (again) - I really should cut back, goal is get to 1 pot a day from 2",positive sentiment
NFX what a brutal short squeeze :-) +40%  I hope to see the same on BCN ZNGA VVS AMD GTAT and so on....,positive sentiment
The bigger picture looks even more frightening for AAP perma-bears. Check this from my friend user,negative sentiment
user AAP back to 350 I would buy hand over fist until then it's still inflated valuation. Now longer a growth story it's new MSFT,negative sentiment
NFX no stopping. Next stop 160+. If it goes to 130 in the near future then going all in.,positive sentiment
AAP 465 is resistance and heading to 435 in the near term.,negative sentiment
user 415/425 by end of wk imho AAP,negative sentiment
ATHX doesn't like 1.35 but I do staying long for a wk or two,positive sentiment
"Out of aapl long from 2009. Still up 10%, but what a learning experience this stock has been. study",negative sentiment
EBAY early morning bounce holding support + 10-day MA,positive sentiment
WNC bounce from 20-day and about 8 cents from our line on volume of 12% ave full day,positive sentiment
ZNGA is about to take off ! Watch out Shorts ;),positive sentiment
user: AMZN< beauty,positive sentiment
"user: in AAP 420p at 8.78 stop if it breaks 453 again // out at 11.75. Figure, I make the best trade of the year on aapl worst",negative sentiment
"AAP Head and Shoulders pattern plays out, one for the textbooks",negative sentiment
ANY still not done?,positive sentiment
OW a few cents away from PT 38.30. Dumping more of position here for great gains,positive sentiment
"VS breakout back-test right here, would be a good entry point for anyone interested in this name",positive sentiment
"FIO: Considerable selling pressure due to AAP link (AAP & FB account for 50%+ of revs). AAP guided capex to 10B, +2B Y/Y. (1/2)",positive sentiment
AAP ong for Trade,positive sentiment
AAP The buy is on 430-440..,negative sentiment
AAP just remember knees AND toes come after head and shoulders,negative sentiment
Keep OSTK on your watchlist - breaking out from a huge cup w handle pattern.,positive sentiment
BC from watch list triggered on Tuesday its move today 147% volume - above top B band - set stops,positive sentiment
True that user: I think market is telling AAP not to let go mobile to #Android the way they lost lap/desk top to #windows. GOOG MSFT,positive sentiment
VMW short 97.01,negative sentiment
AMZN short 275.13,negative sentiment
DECK love this price action and all the people that made this call yesterday on this stream. GGS for wife for life,positive sentiment
CEN breaking out,positive sentiment
"AXP coming off Catfish buy, extreme fractal buy and an orange dot buy ! and Chaos event PWmo2",positive sentiment
AJ entry 18.35 stop 17.22,positive sentiment
"ed Weekly Triangle on PBY,....pdating,...more inform on:",positive sentiment
"Si VFC cae bajo 145,53 , entrar cortos. Stop loss en 146,55 .",negative sentiment
"ong in BBBY after beating 159,07 . Stop loss in 59,74",positive sentiment
user: You Are Here AAP,negative sentiment
"ong-term bullish as anyone, but don't underestimate TSA's ability to print an ugly candle today. oves to sell off in the afternoon.",positive sentiment
MSFT Thinking of buying this one for swing trade. VOME is huge today and breaking out above resistace.,positive sentiment
"AAP 1,000 lot bid in the next weekly 470C at 5.30. 36 delta option, could create support with the stock or slight rally",positive sentiment
No 1 is talking abt Demark's botched AAP call. Media always parade the hot hand so masses B under the illusion that experts know something,negative sentiment
It's a racket out there and the media is on it else they would have taken every expert who had been pumping AAP all along to task today.,negative sentiment
BAC Consolidation in progress... 33% Done... ;-),positive sentiment
reports next Wed. user: ATW: Barclays starts at Overweight,positive sentiment
MSFT nice breakout !!! earnings after close !!,positive sentiment
Buying NFX 140 puts for tomorrow. 1.70 avg,negative sentiment
AAP close- would like to see Williams back under 80 line - SI back under 30 last time gain huge,positive sentiment
"My spot on y u wanted to avoid AAP pre-earnings w/ user yahoofinance. Starts at 2 min mark, posted yesterday.",negative sentiment
"adio spot w/ user today. Talking IWM leadership, why new highs on SPY are likely, and of course, AAP.",positive sentiment
FBHS - another #3WeeksTight. Tons of these out there right now,positive sentiment
"Since user blog, we've found many #3WeeksTight patterns: TMB, FBHS, EQIX. Find others with his screen",positive sentiment
GS 140-142 feels about right to enter swing position.,positive sentiment
VXY Added 2nd tranche short 11.33 dead cat bounce done BA bull,negative sentiment
ACX Phase III statistically better than St of Care Morphine. 5Billion market. Conservative 10% of mkt at 1x sales = 10 stock. XV BBH,positive sentiment
AAP Added Some here !,positive sentiment
GOOG 15 min dot alert subscibers have made out HGE on these signal!! OMG that it serious good,positive sentiment
DAKT volume indicate coming explosion to the upside? entry 11.72 stop 11.21,positive sentiment
user: H broke support today and may drop out of the channel tomorrow... if it does watch out. Posted 1/23. Next 5.25 then 5.00,negative sentiment
X option trader appears to have put on 9k bearish put spreads in the Jul 20-13 puts against lower open interest in both strikes. Pos. hedge,negative sentiment
MSFT Breaking out of solid consolidation and accumulation. I've outlined 3 areas of strength in Microsoft,positive sentiment
"EBAY ripping, nearing PT around 55.50ish",positive sentiment
I don't trade stocks but my system warns declining prices in AAP since sep 2012,negative sentiment
H Closed below daily T.,negative sentiment
"AAP downgraded at Jefferies to hold from buy, Jefferies said. 500 price target",positive sentiment
AAP Oppenheimer reduced price target to 600 from 800.,positive sentiment
AAP BC Capital lowered price target to 600 from 725.,positive sentiment
AAP Hilliard yons give a buy rating in a note issued to investors on Thursday,positive sentiment
nice! - user: GID Working on a very nice Bullish Base.,positive sentiment
AAP Netflix Is Overpriced but Apple Is On Sale,positive sentiment
"Watchist: VBD COX CSC COF All need confirmation, but if confirmed...!!",positive sentiment
"AAP in a 12 hour short sale ban at present. Wonders never cease, much like the sentiment shift on stream here",positive sentiment
NFX is going to the moon. Easiest long side trade for the long term.,positive sentiment
Watch list stocks that triggered as new buys today included - WNC DGI NTI XAY IF HTA,positive sentiment
MCP I seem to be the only joker gaming a position here amongst all you speculators!,positive sentiment
AAP What the analysts are saying:,positive sentiment
"AAP - Should see a bounce between 425 and current price over next few weeks, but ultimately heading down to 400",negative sentiment
AAP down 60 and VXAP down 11. Good that VXAP is not tradable else many would have hedged their AAP shares by going long VXAP.,negative sentiment
DIS bearish to downside to 51.50,negative sentiment
BBBY - bearish back to 57 easy from 58.99 or any higher,negative sentiment
IBT - volume lower than today and red brings this back to 21.50 from 23.06 or higher,negative sentiment
TPX - easy short on next move higher to 50 - just like IMM wait for surge then 3 - 15 minute red bars with volume and short away,negative sentiment
APO - eversal confirmed with increasing volume.,positive sentiment
VVTV bought this long for wealth position overnight from 1.80 to 1.90 during XMAS as it was same column as eBay on finviz selling now 2.70,negative sentiment
VNG been sleeping for too long now predict about to wake up with big volume surge as catalyst higher levels 4.50 shot from here - 20MM day,positive sentiment
AMD bailed out at 2.70 dropped under 2.50 thought good but may rebuy in now as going to 3 with catalyst confirmation by end 2013 - 6.00,positive sentiment
"KBH is my trade for tomorrow as long my conditions are met I will SHOT at 18.24 ,18.21,18.17,18.14,18.09 18.04 and cover 17.20,17.10",negative sentiment
APA Back over 83.55,positive sentiment
ANAD Over 2.54 or 2.70 - we like these two level set ups,positive sentiment
"THO will enter on confirmation tomorrow, looking great (no pos, yet)",positive sentiment
GTAT closed above its 50SMA. MACD continues to trend higher near to cross above 0.,positive sentiment
"AAP Why so hard to comprehend? Classic pump & dump asset bubble after Jobs died, one last pay out (parabolic 700). Back to normal stock",negative sentiment
user brain fart in earlier post. Meant ZAGG not DECK. AAP buying DDD & distrib designs via iTunes #FTW B great 4 ADSK too,positive sentiment
"KCG, i wonder who keeps painting the tape with these few hundred share lots in the AM? ast few times we rip during the day~",positive sentiment
AMN Penny stock alert! This thing will be worth cents before the end of the year.,negative sentiment
"MCP When I look at the volume v price, most of the transactions were around 7 this morning = line the sand for now",positive sentiment
OVI on watch list has volume of 10% of ave full day - over line a little,positive sentiment
ANAD on watch list over 1st line with volume of 17% ave full day,positive sentiment
FBN on watch list over 1st lien but under the 200-day EMA with volume of 19% ave full day,positive sentiment
WPI - whoopie changed its name to Actavis ACT - sounds like a bowel health yogurt or an OWS protester - we are still short,negative sentiment
a 4-6 point pullback would be reasonable after a move like that. nflx,positive sentiment
TIBX getting some love today...gap fill around 25,positive sentiment
15/16 stocks on Watchlist higher- Hope ur listenin F KBH GPX SSQ SBX CSOD HD CHK EBAY TEX I ITG,positive sentiment
no follow thru on NKD out for a 60c profit oh well,positive sentiment
